acct,utc_date,num_courses_visited,total_minutes_visited,lessons_completed,projects_completed
0,2015/1/9,1,12 ,0,0
0,2015/1/10,2,37 ,0,0
0,2015/1/11,2,54 ,0,0
0,2015/1/12,1,33 ,0,0
0,2015/1/13,1,65 ,0,0
0,2015/1/14,1,152 ,1,0
0,2015/1/15,1,142 ,0,0
0,2015/1/16,0,0 ,0,0
0,2015/1/17,1,10 ,0,0
0,2015/1/18,1,38 ,0,0
0,2015/1/19,1,98 ,1,0
0,2015/1/20,0,0 ,0,0
0,2015/1/21,0,0 ,0,0
0,2015/1/22,1,218 ,1,0
0,2015/1/23,1,281 ,1,0
0,2015/1/24,1,32 ,0,0
0,2015/1/25,1,65 ,0,0
0,2015/1/26,1,75 ,1,0
0,2015/1/27,1,200 ,1,0
0,2015/1/28,1,55 ,0,0
0,2015/1/29,1,213 ,1,0
0,2015/1/30,1,96 ,1,0
0,2015/1/31,1,94 ,0,0
0,2015/2/1,1,41 ,1,0
0,2015/2/2,2,76 ,0,0
0,2015/2/3,1,148 ,0,0
0,2015/2/4,1,39 ,1,0
0,2015/2/5,2,85 ,0,0
0,2015/2/6,1,101 ,1,0
0,2015/2/7,1,104 ,1,0
0,2015/2/8,0,0 ,0,0
0,2015/2/9,1,102 ,0,0
0,2015/2/10,1,105 ,1,0
0,2015/2/11,1,401 ,2,0
0,2015/2/12,1,76 ,0,0
0,2015/2/13,1,30 ,1,0
0,2015/2/14,1,112 ,0,0
0,2015/2/15,0,0 ,0,0
0,2015/2/16,0,0 ,0,0
0,2015/2/17,0,0 ,0,0
0,2015/2/18,0,0 ,0,0
0,2015/2/19,0,0 ,0,0
0,2015/2/20,1,33 ,0,0
0,2015/2/21,1,63 ,0,0
0,2015/2/22,1,78 ,1,0
0,2015/2/23,1,150 ,0,0
0,2015/2/24,0,0 ,0,0
0,2015/2/25,1,148 ,1,0
0,2015/2/26,2,42 ,1,0
0,2015/2/27,2,32 ,0,0
0,2015/2/28,0,0 ,0,0
0,2015/3/1,2,77 ,0,0
0,2015/3/2,2,52 ,0,0
0,2015/3/3,2,73 ,0,0
0,2015/3/4,2,75 ,0,0
0,2015/3/5,1,59 ,0,0
0,2015/3/6,2,61 ,0,0
0,2015/3/7,0,0 ,0,0
0,2015/3/8,0,0 ,0,0
0,2015/3/9,1,13 ,0,0
0,2015/3/10,2,238 ,1,0
0,2015/3/11,2,90 ,0,0
0,2015/3/12,1,20 ,0,0
0,2015/3/13,0,0 ,0,0
0,2015/3/14,0,0 ,0,0
0,2015/3/15,0,0 ,0,0
0,2015/3/16,2,164 ,0,0
0,2015/3/17,2,14 ,0,0
0,2015/3/18,2,29 ,1,0
0,2015/3/19,0,0 ,0,0
0,2015/3/20,0,0 ,0,0
0,2015/3/21,0,0 ,0,0
0,2015/3/22,0,0 ,0,0
0,2015/3/23,1,36 ,0,0
0,2015/3/24,1,143 ,1,0
0,2015/3/25,1,176 ,1,0
0,2015/3/26,1,50 ,1,0
0,2015/3/27,0,0 ,0,0
0,2015/3/28,0,0 ,0,0
0,2015/3/29,0,0 ,0,0
0,2015/3/30,0,0 ,0,0
0,2015/3/31,1,174 ,1,0
0,2015/4/1,1,215 ,3,0
0,2015/4/2,0,0 ,0,0
0,2015/4/3,1,59 ,1,0
0,2015/4/4,1,36 ,0,0
0,2015/4/5,1,104 ,1,0
0,2015/4/6,1,172 ,1,0
0,2015/4/7,1,14 ,0,0
0,2015/4/8,2,116 ,2,0
0,2015/4/9,1,236 ,2,0
0,2015/4/10,0,0 ,0,0
0,2015/4/11,1,42 ,0,0
0,2015/4/12,1,17 ,0,0
0,2015/4/13,1,10 ,0,0
0,2015/4/14,1,37 ,0,0
0,2015/4/15,0,0 ,0,0
0,2015/4/16,0,0 ,0,0
0,2015/4/17,0,0 ,0,0
0,2015/4/18,0,0 ,0,0
0,2015/4/19,0,0 ,0,0
0,2015/4/20,1,25 ,0,0
0,2015/4/21,1,7 ,0,0
0,2015/4/22,0,0 ,0,0
0,2015/4/23,0,0 ,0,1
0,2015/4/24,0,0 ,0,0
0,2015/4/25,0,0 ,0,0
0,2015/4/26,0,0 ,0,0
0,2015/4/27,0,0 ,0,0
0,2015/4/28,1,3 ,0,0
0,2015/4/29,0,0 ,0,0
0,2015/4/30,0,0 ,0,0
0,2015/5/1,0,0 ,0,0
0,2015/5/2,0,0 ,0,0
0,2015/5/3,0,0 ,0,0
0,2015/5/4,0,0 ,0,0
0,2015/5/5,0,0 ,0,0
0,2015/5/6,0,0 ,0,0
0,2015/5/7,0,0 ,0,0
0,2015/5/8,3,121 ,1,0
0,2015/5/9,1,79 ,0,0
0,2015/5/10,2,39 ,0,0
0,2015/5/11,1,130 ,0,0
0,2015/5/12,1,9 ,0,0
0,2015/5/13,0,0 ,0,0
0,2015/5/14,0,0 ,0,0
0,2015/5/15,0,0 ,0,0
0,2015/5/16,0,0 ,0,0
0,2015/5/17,0,0 ,0,0
0,2015/5/18,0,0 ,0,0
0,2015/5/19,0,0 ,0,0
0,2015/5/20,0,0 ,0,0
0,2015/5/21,0,0 ,0,0
0,2015/5/22,0,0 ,0,0
0,2015/5/23,0,0 ,0,0
0,2015/5/24,0,0 ,0,0
0,2015/5/25,0,0 ,0,0
0,2015/5/26,0,0 ,0,0
0,2015/5/27,0,0 ,0,0
0,2015/5/28,0,0 ,0,0
0,2015/5/29,0,0 ,0,0
0,2015/5/30,0,0 ,0,0
0,2015/5/31,0,0 ,0,0
0,2015/6/1,0,0 ,0,0
0,2015/6/2,0,0 ,0,0
0,2015/6/3,0,0 ,0,0
0,2015/6/4,0,0 ,0,0
0,2015/6/5,0,0 ,0,0
0,2015/6/6,0,0 ,0,0
0,2015/6/7,0,0 ,0,0
0,2015/6/8,0,0 ,0,0
0,2015/6/9,0,0 ,0,0
0,2015/6/10,0,0 ,0,0
0,2015/6/11,0,0 ,0,0
0,2015/6/12,1,12 ,0,0
0,2015/6/13,0,0 ,0,0
0,2015/6/14,0,0 ,0,0
0,2015/6/15,0,0 ,0,0
0,2015/6/16,0,0 ,0,0
0,2015/6/17,0,0 ,0,0
0,2015/6/18,1,76 ,1,0
0,2015/6/19,1,73 ,1,0
0,2015/6/20,0,0 ,0,0
0,2015/6/21,0,0 ,0,0
0,2015/6/22,0,0 ,0,0
0,2015/6/23,0,0 ,0,0
0,2015/6/24,1,95 ,0,0
0,2015/6/25,0,0 ,0,0
0,2015/6/26,1,51 ,0,0
0,2015/6/27,0,0 ,0,0
0,2015/6/28,1,104 ,0,0
0,2015/6/29,1,211 ,2,0
0,2015/6/30,1,14 ,0,0
0,2015/7/1,0,0 ,0,0
0,2015/7/2,0,0 ,0,0
0,2015/7/3,0,0 ,0,0
0,2015/7/4,0,0 ,0,0
0,2015/7/5,0,0 ,0,0
0,2015/7/6,0,0 ,0,0
0,2015/7/7,0,0 ,0,0
0,2015/7/8,0,0 ,0,0
0,2015/7/9,0,0 ,0,0
0,2015/7/10,0,0 ,0,0
0,2015/7/11,0,0 ,0,0
0,2015/7/12,0,0 ,0,0
0,2015/7/13,0,0 ,0,0
0,2015/7/14,0,0 ,0,0
0,2015/7/15,0,0 ,0,0
0,2015/7/16,0,0 ,0,0
0,2015/7/17,0,0 ,0,0
0,2015/7/18,0,0 ,0,0
0,2015/7/19,0,0 ,0,0
0,2015/7/20,0,0 ,0,0
0,2015/7/21,0,0 ,0,0
0,2015/7/22,0,0 ,0,0
0,2015/7/23,0,0 ,0,0
0,2015/7/24,0,0 ,0,0
0,2015/7/25,0,0 ,0,0
